traveler_email,traveler_password,traveler_name
traveler1@test.com,password123,John Traveler
traveler2@test.com,password123,Jane Traveler
traveler3@test.com,password123,Bob Traveler
traveler4@test.com,password123,Alice Traveler
traveler5@test.com,password123,Charlie Traveler
traveler6@test.com,password123,Diana Traveler
traveler7@test.com,password123,Edward Traveler
traveler8@test.com,password123,Fiona Traveler
traveler9@test.com,password123,George Traveler
traveler10@test.com,password123,Helen Traveler

